aerosol_total_aod,albedo_o2_fph,albedo_slope_o2,albedo_slope_strong_co2,albedo_slope_weak_co2,albedo_strong_co2_fph,albedo_weak_co2_fph,StartOrbitNumber,albedo_o2_abp_0,albedo_o2_abp_1,co2_ratio_idp,dispersion_multiplier_abp,fluorescence_offset_relative_757nm_idp,fluorescence_offset_relative_771nm_idp,h2o_ratio_idp,o2_ratio_idp,reduced_chi_squared_o2_abp,snr_o2_abp,surface_pressure_delta_abp,surface_pressure_offset_abp,temperature_offset_abp,retrieval_altitude,retrieval_aspect,retrieval_azimuth,retrieval_latitude,retrieval_longitude,retrieval_overlap,retrieval_overlap_o2_weak_co2,retrieval_overlap_strong_co2_o2,retrieval_overlap_weak_co2_strong_co2,retrieval_polarization_angle,retrieval_slope,retrieval_solar_azimuth,retrieval_solar_relative_velocity,retrieval_solar_zenith,retrieval_surface_roughness
0.194651,0.309381,-1.67E-05,2.59E-05,-5.92E-05,0.305381,0.341443,991,0.300706,0.298752,1.03168,0.999993576,0.00115967,0.010376,1.04443,1.05096,35.2154,668.9,48.0847,-500,1.22821,193.091,71.2266,36.6157,31.5865,70.5292,93.3127,81.433,84.2752,88.6275,0.845467,0.337818,215.574,-328.096,30.5594,2.07258
0.233095,0.309685,-1.91E-05,6.83E-06,-5.32E-05,0.318711,0.355074,991,0.299597,0.298186,1.02295,0.99999359,0.00299072,0.0140381,1.05072,1.06378,33.4591,670.219,195.614,-500,1.30295,190.257,77.8199,36.0362,31.5931,70.546,97.7554,85.736,86.1609,88.3785,0.321579,0.129,215.599,-327.984,30.5739,2.07389
0.203263,0.265824,-1.43E-05,-4.79E-05,-4.77E-05,0.23527,0.283504,991,0.257508,0.255966,1.0282,0.999993375,-0.00524902,0.00592041,1.05731,1.02344,34.4355,593.225,-30.1698,-500,1.53054,187.327,83.3006,35.406,31.6367,70.5516,97.6329,80.8834,81.5379,83.7058,359.798,0.183413,215.573,-327.972,30.6144,2.14332
0.668488,0.248472,-7.88E-06,3.81E-06,-7.38E-05,0.256256,0.298972,991,0.236031,0.229113,1.03357,0.999993918,-0.00512695,0.0145874,1.12408,1.05029,35.6557,594.038,-1129.72,-500,1.84775,201.277,144.84,35.9013,31.6846,70.5176,97.7206,85.7434,86.0727,88.2585,0.31401,0.103543,215.473,-328.238,30.6378,1.95946
0.275248,0.261662,-2.37E-05,-4.42E-05,-2.39E-05,0.283578,0.312595,991,0.252426,0.251137,1.0238,0.999993311,0.00561523,0.0154419,1.0639,1.0401,33.706,615.361,-299.144,-500,1.67671,205.514,100.996,35.8479,31.7212,70.5062,97.7552,85.9464,86.2785,88.4362,0.31191,0.0788173,215.422,-328.34,30.6633,1.89748
0.219199,0.292231,-1.82E-05,5.95E-07,-2.85E-05,0.324715,0.346278,991,0.284699,0.283667,1.02802,0.999993766,0.00762939,0.0166016,1.03143,1.06281,35.2192,650.173,40.4632,-500,1.14062,213.786,88.9516,36.2406,31.8431,70.4495,93.2364,81.426,84.3237,88.7099,0.826301,0.0721522,215.221,-328.811,30.7389,2.58346
0.257865,0.261164,-1.79E-05,-3.65E-05,-4.22E-05,0.273489,0.308847,991,0.253246,0.250904,1.0246,0.999993501,0.0055542,0.00958252,1.03644,1.06256,30.4569,578.231,90.4971,-500,1.09211,204.675,126.48,34.8491,31.8332,70.5006,96.9392,81.4977,82.3838,82.533,359.536,0.0930161,215.321,-328.451,30.7569,2.34587
0.337343,0.248344,-1.69E-05,5.02E-06,-5.32E-05,0.261542,0.301797,991,0.242088,0.238977,1.02521,0.999993448,0.00836182,0.0209961,1.05402,1.08203,30.7548,601.282,-178.208,-500,1.61611,211.393,76.697,35.6419,31.8682,70.4605,97.7109,85.996,86.203,88.3821,0.309509,0.139838,215.221,-328.75,30.7663,2.26274
0.287153,0.31071,-2.55E-05,-2.95E-05,-7.05E-05,0.317896,0.367552,991,0.296294,0.298734,1.02686,0.999993347,0.00720215,0.0189209,1.06891,1.08368,40.778,667.06,-268.424,-500,1.54841,226.655,190.385,35.7677,31.9846,70.4148,97.709,86.319,87.1534,89.2108,0.570088,0.106063,215.045,-329.141,30.8432,2.6511
0.519701,0.2793,-2.02E-05,-8.03E-06,-4.91E-05,0.255432,0.315242,991,0.265061,0.265363,1.03082,0.999993119,0.0142212,0.0134888,1.06689,1.07031,39.8414,608.02,-173.049,-500,1.61577,233.426,139.976,36.2633,32.0332,70.3809,94.6242,81.7263,84.096,88.4686,1.08554,0.0934748,214.945,-329.407,30.8677,1.88922
0.303608,0.264474,-2.01E-05,-1.58E-05,-4.96E-05,0.285451,0.316014,991,0.255556,0.257031,1.02551,0.9999936,0.000305176,0.0154419,1.05994,1.04565,32.0042,590.321,-367.177,-500,1.65063,246.685,174.566,34.6804,32.17,70.3858,97.6481,81.6777,82.3665,84.6183,337.995,0.215285,214.845,-329.462,30.9887,3.15161
0.287653,0.25066,-1.89E-05,-3.76E-05,-8.52E-05,0.2284,0.280106,991,0.243475,0.244347,1.02698,0.999993479,-0.00195312,0.0136719,1.07117,1.04779,32.8199,576.139,-588.343,-500,2.0998,257.418,226.917,34.6315,32.2069,70.3743,97.6052,81.7073,82.4298,84.6808,359.805,0.348873,214.795,-329.565,31.0147,2.64539
